Frame Index,Total Frame Time (ms),Deduced GPU Time (ms),FPS,CPU Usage (%),RAM (MB)
0,5.001,0.336,125.918,0,53.3359
1,4.981,0.322,133.403,0,53.3359
2,9.481,0.363001,130.61,0,53.3359
3,8.269,0.309,129.642,0,53.3359
4,12.054,0.299001,124.974,0,53.3359
5,4.511,0.368,134.645,21.926,53.3359
6,10.963,0.313,130.302,0,53.3359
7,9.419,0.334001,127.888,10.3876,53.3359
8,8.993,0.308,126.219,0,53.3359
9,7.043,0.305,127.796,0,53.3359
10,5.968,0.288,131.772,16.294,53.3359
11,13.165,0.318,126.191,7.43555,53.3359
12,9.117,0.309,124.54,0,53.3359
13,5.994,0.304,128.77,0,53.3359
14,12.004,0.318,124.223,0,53.3359
15,8.603,0.448,123.425,0,53.3359
16,11.422,0.3,119.837,0,53.3359
17,6.929,0.323,122.286,0,53.3359
18,4.52,0.314,132.181,0,53.3359
19,10.586,0.298,128.409,0,53.3359
20,7.047,0.348,129.759,0,53.3359
21,12.563,0.292,124.743,0,53.3359
22,7.533,0.321,125.543,0,53.3359
23,10.372,0.288,122.63,9.37839,53.3359
24,6.001,0.291,127.031,0,53.3359
25,10.368,0.292999,123.973,0,53.3359
26,10.738,0.283,120.889,0,53.3359
27,12.068,0.352,117.086,0,53.3359
28,12.378,0.370999,113.456,0,53.3359
29,11.387,0.290999,110.893,0,53.3359
30,10.463,0.308,109.361,0,53.3359
31,5.94,0.36,115.26,0,53.3359
32,12.984,0.339999,111.436,0,53.3359
33,13.193,0.304,107.872,0,53.3359
34,8.492,0.295,108.86,0,53.3359
35,7.068,0.361,112.123,0,53.3359
36,12.039,0.399,109.217,0,53.3359
37,7.066,0.31,112.447,0,53.3359
38,10.012,0.306999,111.191,0,53.3359
39,9.453,0.332999,110.65,0,53.3359
40,10.101,0.293,109.485,0,53.3359
41,6.535,0.315,113.839,0,53.3359
42,5.662,0.307,120.117,0,53.3359
43,8.551,0.349,119.799,0,53.3359
44,10.555,0.287,117.294,0,53.3359
45,7.012,0.302,119.826,0,53.3359
46,9.508,0.305,118.36,10.2696,53.3359
47,8.366,0.285,118.478,0,53.3359
48,5.49,0.362,124.845,0,53.3359
49,4.91,0.295,132.727,0,53.3359
50,13.197,0.288,127.032,0,53.3359
51,7.576,0.458,127.528,0,53.3359
52,10.026,0.292999,124.749,0,53.3359
53,12.477,0.348,120.289,0,53.3359
54,11.06,0.292,117.302,0,53.3359
55,9.033,0.329,116.642,0,53.3359
56,12.474,0.321,112.995,0,53.3359
57,8.423,0.301,113.567,0,53.3359
58,12.356,0.305,110.304,0,53.3359
59,6.205,0.284,115.39,31.3533,53.3359
60,5.46,0.334,122.166,0,53.3359
61,13.372,0.335,117.427,0,53.3359
62,8.578,0.386,117.342,0,53.3359
63,7.519,0.314,118.908,0,53.3359
64,10.439,0.347,116.596,0,53.3359
